date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:43:13	60080/60080	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Jan%202022%2021:43:12%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/ec.js	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/ec.js	(from https://vitaprojects.co.za/wp-content/MetaMask/meta/js)
05:43:15	60080/60080	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Jan%202022%2021:43:15%20GMT	https://vitaprojects.co.za/analytics.js	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/analytics.js	(from https://vitaprojects.co.za/wp-content/MetaMask/meta/js)
05:43:17	60080/60080	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Jan%202022%2021:43:17%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/recaptcha.js	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/recaptcha.js	(from https://vitaprojects.co.za/wp-content/MetaMask/meta/js)
05:43:19	60080/60080	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Jan%202022%2021:43:19%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/linkid.js	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/linkid.js	(from https://vitaprojects.co.za/wp-content/MetaMask/meta/js)
05:43:21	60080/60080	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Jan%202022%2021:43:21%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/gtm.js	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/gtm.js	(from https://vitaprojects.co.za/wp-content/MetaMask/meta/js)
05:43:23	224987/224987	---MC-	200	added ('OK')	application/javascript	date:Sun,%2009%20Jan%202022%2021:43:23%20GMT	https://cct.google/taggy/agent.js	C:/My%20Web%20Sites/newwbtc/cct.google/taggy/agent.js	(from https://vitaprojects.co.za/wp-content/MetaMask/meta/js)
05:43:23	22823/22823	---MC-	200	added ('OK')	text/html	date:Sun,%2009%20Jan%202022%2021:43:24%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/recovery.php	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/recovery.html	(from https://vitaprojects.co.za/wp-content/MetaMask/secure.php)
05:43:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2009%20Jan%202022%2021:43:25%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/+JSON.stringify(e))}function%20$(e){C(	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/+JSON.2c.delayed	(from https://vitaprojects.co.za/wp-content/MetaMask/meta/jsonp)
05:43:29	60080/60080	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Jan%202022%2021:43:27%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/+JSON.stringify(e))function%20(e)C	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/+JSON.stringify(e))function%20(e)C	(from https://vitaprojects.co.za/wp-content/MetaMask/meta/jsonp)
05:43:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2009%20Jan%202022%2021:43:30%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/{{imagesRepository}}/{{imageUrl}}	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/{{imagesRepository}}/{{imageUrl}}	(from https://vitaprojects.co.za/wp-content/MetaMask/meta/jsonp)
05:43:32	60080/60080	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Jan%202022%2021:43:32%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/imagesRepository/imageUrl	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/imagesRepository/imageUrl	(from https://vitaprojects.co.za/wp-content/MetaMask/meta/jsonp)
05:43:35	60080/60080	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Jan%202022%2021:43:34%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/{{iconsRepository}}/sprites_v1.png	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/{{iconsRepository}}/sprites_v1.png	(from https://vitaprojects.co.za/wp-content/MetaMask/meta/jsonp)
05:43:35	578882/578882	---MCZ	200	added ('OK')	application/javascript	etag:W/%2249987de4bcbe452bcfd1007cc2d781f9%22	https://js.hsforms.net/forms/v2.js	C:/My%20Web%20Sites/newwbtc/js.hsforms.net/forms/v2.js	(from https://vitaprojects.co.za/wp-content/MetaMask/meta/saved_resource.html)
05:43:36	52368/52368	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Dec%202021%2014:21:10%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/styles__ltr.css	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/styles__ltr.css	(from https://vitaprojects.co.za/wp-content/MetaMask/meta/anchor.html)
05:43:37	152/152	---M--	200	added ('OK')	text/html	date:Tue,%2014%20Dec%202021%2014:21:14%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/saved_resource(2).html	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/saved_resource(2).html	(from https://vitaprojects.co.za/wp-content/MetaMask/meta/anchor.html)
